person_name,screen_name,tweet,time_hour_of_day,hash_tags,media_info,freq,media_tweet_freq,total_tweet_by_user,percentage,hash_count,clean_tweet,sentiment,sentiment_score,compound_sentiment
jimmy fallon,jimmyfallon,"RT @mommyshorts: Congrats to @jimmyfallon on “This is Baby!” It’s a book, not a baby. It’s going on my list for best new parent gifts. http…",0,[],No picture / link,6,82,200,3.0,0,"RT @mommyshorts: Congrats to @jimmyfallon on “This is Baby!” It’s a book, not a baby. It’s going on my list for best new parent gifts. http…",Positive,"{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.8356}",0.8356
jimmy fallon,jimmyfallon,RT @FalpalsChoice: .@jimmyfallon is going to be on #WWHL soon! Send in your questions for him on @andy’s FB page,0,"[{'indices': [51, 56], 'text': 'WWHL'}]",No picture / link,6,82,200,3.0,1,RT @FalpalsChoice: .@jimmyfallon is going to be on #WWHL soon! Send in your questions for him on @andy’s FB page,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,"We've got another LIVE show tonight with @justdemi, @justinhartley talking #ThisIsUs and a performance from… https://t.co/eD3tXqmPBJ",0,"[{'indices': [75, 84], 'text': 'ThisIsUs'}]",Has pictures / links ,6,118,200,3.0,1,"We've got another LIVE show tonight with @justdemi, @justinhartley talking #ThisIsUs and a performance from… https://t.co/eD3tXqmPBJ",Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,"LIVE show tonight with @gwenstefani, @BenSPLATT and a performance from @zacbrownband! Plus, Hot Girl Fall with @theestallion! #FallonLIVE",0,"[{'indices': [126, 137], 'text': 'FallonLIVE'}]",No picture / link,6,82,200,3.0,1,"LIVE show tonight with @gwenstefani, @BenSPLATT and a performance from @zacbrownband! Plus, Hot Girl Fall with @theestallion! #FallonLIVE",Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,"RT @zacbrownband: Tonight’s gonna be a fun one. Who’s staying up late with us? @FallonTonight @jimmyfallon #TheOwl

Photo by @diegopernia h…",0,"[{'indices': [107, 114], 'text': 'TheOwl'}]",No picture / link,6,82,200,3.0,1,"RT @zacbrownband: Tonight’s gonna be a fun one. Who’s staying up late with us? @FallonTonight @jimmyfallon #TheOwl

Photo by @diegopernia h…",Positive,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.5106}",0.5106
jimmy fallon,jimmyfallon,"Tonight: @RachelBros, @carlagugino and music from @tydollasign! Plus, #FortniteWorldCup Solo Champion @bugha! #FallonTonight",0,"[{'indices': [70, 87], 'text': 'FortniteWorldCup'}, {'indices': [110, 124], 'text': 'FallonTonight'}]",No picture / link,6,82,200,3.0,2,"Tonight: @RachelBros, @carlagugino and music from @tydollasign! Plus, #FortniteWorldCup Solo Champion @bugha! #FallonTonight",Positive,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6688}",0.6688
jimmy fallon,jimmyfallon,Stay tuned tonight - all new @FallonTonight after the game.,1,[],No picture / link,10,82,200,5.0,0,Stay tuned tonight - all new @FallonTonight after the game.,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,"RT @jeremyhobson: Thank you, @jimmyfallon for coming on @NPR @hereandnow to talk about your new book, ""THIS IS BABY."" I am sending you a ra…",1,[],No picture / link,10,82,200,5.0,0,"RT @jeremyhobson: Thank you, @jimmyfallon for coming on @NPR @hereandnow to talk about your new book, ""THIS IS BABY."" I am sending you a ra…",Positive,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3612}",0.3612
jimmy fallon,jimmyfallon,RT @seanseaevans: HOT ONES VS. @FallonTonight 1135ET/1035C set ur damn DVR 🥵 https://t.co/1Fvc9OqAQC,1,[],Has pictures / links ,10,118,200,5.0,0,RT @seanseaevans: HOT ONES VS. @FallonTonight 1135ET/1035C set ur damn DVR 🥵 https://t.co/1Fvc9OqAQC,Negative,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4019}",-0.4019
jimmy fallon,jimmyfallon,RT @TigerWoods: .@JimmyFallon and I tee off at 11:35/10:35c on @FallonTonight. #SundayNightFallon https://t.co/jclMIWp6Dn,1,"[{'indices': [79, 97], 'text': 'SundayNightFallon'}]",Has pictures / links ,10,118,200,5.0,1,RT @TigerWoods: .@JimmyFallon and I tee off at 11:35/10:35c on @FallonTonight. #SundayNightFallon https://t.co/jclMIWp6Dn,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,RT @BroadwayWorld: .@Lin_Manuel and @freestylelove give the @FallonTonight audience a taste of hip hop improv before their big Broadway ope…,1,[],No picture / link,10,82,200,5.0,0,RT @BroadwayWorld: .@Lin_Manuel and @freestylelove give the @FallonTonight audience a taste of hip hop improv before their big Broadway ope…,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,@SharonZurcher That goes without saying. It should be on everyone’s list. Fantastic game. Changed everything. Namin… https://t.co/LTgtDvpdJL,1,[],Has pictures / links ,10,118,200,5.0,0,@SharonZurcher That goes without saying. It should be on everyone’s list. Fantastic game. Changed everything. Namin… https://t.co/LTgtDvpdJL,Positive,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.5574}",0.5574
jimmy fallon,jimmyfallon,RT @Residente: El miércoles 18 se juntan Trujillo Alto y Vega Baja para tocar “Bellacoso” por primera vez en vivo en @FallonTonight @jimmyf…,1,[],No picture / link,10,82,200,5.0,0,RT @Residente: El miércoles 18 se juntan Trujillo Alto y Vega Baja para tocar “Bellacoso” por primera vez en vivo en @FallonTonight @jimmyf…,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,8am. I’m in. Not going to sleep tonight. https://t.co/2xZQk9p0I5,1,[],Has pictures / links ,10,118,200,5.0,0,8am. I’m in. Not going to sleep tonight. https://t.co/2xZQk9p0I5,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,Gavin forbid us to ever speak again. So I’m gonna leave this with you guys. Unless... you have the new credit carrr… https://t.co/n3hLXaRn0K,1,[],Has pictures / links ,10,118,200,5.0,0,Gavin forbid us to ever speak again. So I’m gonna leave this with you guys. Unless... you have the new credit carrr… https://t.co/n3hLXaRn0K,Neutral,"{'neg': 0.143, 'neu': 0.759, 'pos': 0.099, 'compound': -0.0422}",-0.0422
jimmy fallon,jimmyfallon,"Tonight: Greg Kinnear, Phoebe Waller-Bridge and music from @BigSean! #FallonTonight",1,"[{'indices': [69, 83], 'text': 'FallonTonight'}]",No picture / link,10,82,200,5.0,1,"Tonight: Greg Kinnear, Phoebe Waller-Bridge and music from @BigSean! #FallonTonight",Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,RT @FallonTonight: 1 hour until True Confessions with Scarlett Johansson &amp; Mayor @PeteButtigieg on #FallonTonight! https://t.co/p4cM2qm4pL,2,"[{'indices': [103, 117], 'text': 'FallonTonight'}]",Has pictures / links ,5,118,200,2.5,1,RT @FallonTonight: 1 hour until True Confessions with Scarlett Johansson &amp; Mayor @PeteButtigieg on #FallonTonight! https://t.co/p4cM2qm4pL,Positive,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.4753}",0.4753
jimmy fallon,jimmyfallon,Alright alright - you guys are gonna make me emotional. #SMILE is trending. So happy. Thanks. What a nice birthday… https://t.co/PFXHQ9nptQ,2,"[{'indices': [56, 62], 'text': 'SMILE'}]",Has pictures / links ,5,118,200,2.5,1,Alright alright - you guys are gonna make me emotional. #SMILE is trending. So happy. Thanks. What a nice birthday… https://t.co/PFXHQ9nptQ,Positive,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.9362}",0.9362
jimmy fallon,jimmyfallon,Sooooooo many questions..... https://t.co/0qIcqFwifx,2,[],Has pictures / links ,5,118,200,2.5,0,Sooooooo many questions..... https://t.co/0qIcqFwifx,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,@bobbyberk @FallonTonight Beast buddies?,2,[],No picture / link,5,82,200,2.5,0,@bobbyberk @FallonTonight Beast buddies?,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,Boat buddies forever. Haaaaaa. You guys killed it. Thank you. https://t.co/NoqEHxF858,2,[],Has pictures / links ,5,118,200,2.5,0,Boat buddies forever. Haaaaaa. You guys killed it. Thank you. https://t.co/NoqEHxF858,Negative,"{'neg': 0.281, 'neu': 0.562, 'pos': 0.156, 'compound': -0.4588}",-0.4588
jimmy fallon,jimmyfallon,I’m the only one who dabbed!!!! #FallonLIVE,3,"[{'indices': [32, 43], 'text': 'FallonLIVE'}]",No picture / link,7,82,200,3.5000000000000004,1,I’m the only one who dabbed!!!! #FallonLIVE,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,First Break - taking audience questions live from Studio 6B! Tweet along with the show using #FallonLIVE! https://t.co/0Y7877rEmg,3,"[{'indices': [93, 104], 'text': 'FallonLIVE'}]",Has pictures / links ,7,118,200,3.5000000000000004,1,First Break - taking audience questions live from Studio 6B! Tweet along with the show using #FallonLIVE! https://t.co/0Y7877rEmg,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,"RT @Oreo: @FallonTonight @JimmyFallon No, good sir, How Dare YOU! Your untoward cry in the late hour of OREO Thins is blaspheme in the high…",3,[],No picture / link,7,82,200,3.5000000000000004,0,"RT @Oreo: @FallonTonight @JimmyFallon No, good sir, How Dare YOU! Your untoward cry in the late hour of OREO Thins is blaspheme in the high…",Negative,"{'neg': 0.183, 'neu': 0.722, 'pos': 0.095, 'compound': -0.4003}",-0.4003
jimmy fallon,jimmyfallon,RT @russwest44: Make sure y’all tune in tonight to @FallonTonight !!! @jimmyfallon https://t.co/SavUJf9Mqx,3,[],Has pictures / links ,7,118,200,3.5000000000000004,0,RT @russwest44: Make sure y’all tune in tonight to @FallonTonight !!! @jimmyfallon https://t.co/SavUJf9Mqx,Positive,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4898}",0.4898
jimmy fallon,jimmyfallon,RT @BruceBeck4NY: Great to have @RichCimini in house on @SportsFinal4NY to talk #Jets! What happened to the lead today and where do they go…,3,"[{'indices': [80, 85], 'text': 'Jets'}]",No picture / link,7,82,200,3.5000000000000004,1,RT @BruceBeck4NY: Great to have @RichCimini in house on @SportsFinal4NY to talk #Jets! What happened to the lead today and where do they go…,Positive,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.6588}",0.6588
jimmy fallon,jimmyfallon,Just get up now!!! Hi Sweden! https://t.co/cmmjZmm0MF,3,[],Has pictures / links ,7,118,200,3.5000000000000004,0,Just get up now!!! Hi Sweden! https://t.co/cmmjZmm0MF,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,All new #FallonTonight starts in 5 mins.... @KendallJenner spills some secrets and @SHODesusAndMero talk… https://t.co/rO7EgyrNHJ,3,"[{'indices': [8, 22], 'text': 'FallonTonight'}]",Has pictures / links ,7,118,200,3.5000000000000004,1,All new #FallonTonight starts in 5 mins.... @KendallJenner spills some secrets and @SHODesusAndMero talk… https://t.co/rO7EgyrNHJ,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
jimmy fallon,jimmyfallon,RT @FallonTonight: .@taylorswift13 reacts to a never-before-seen post-surgery clip. More with @taylorswift13 on #FallonTonight! https://t.c…,4,"[{'indices': [112, 126], 'text': 'FallonTonight'}]",No picture / link,4,82,200,2.0,1,RT @FallonTonight: .@taylorswift13 reacts to a never-before-seen post-surgery clip. More with @taylorswift13 on #FallonTonight! https://t.c…,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
